id_master,c1,c2,stim,category1,category2,relation,obs,obsc1,obsc2,stimlen,c1len,c2len,nparses,correctParse,ratingcmp,ratingC1,ratingC2,isPlural,nc1_cmp,nc2_cmp,nc1_cmpnoplural,nc2_cmpnoplural,sentiment_stim,sentiment_c1,sentiment_c2,sentimentprobpos_stim,sentimentprobpos_c1,sentimentprobpos_c2,sentimentprobneg_stim,sentimentprobneg_c1,sentimentprobneg_c2,sentimentratioposneg_stim,sentimentratioposneg_c1,sentimentratioposneg_c2,profanity_stim,profanity_c1,profanity_c2,isCommonstim,isCommonC1,isCommonC2,bg_boundary,bgJonesMewhort,bgSUBTLEX,bgFacebook,inSUBTLEX,inBLP,inELP,inJuhaszLaiWoodcock,c1_inELP,c1_inBrysbaert,c1_inWordnet,c1_inMMA,c2_inELP,c2_inBrysbaert,c2_inWordnet,c2_inMMA,LSAc1c2,LSAc1stim,LSAc2stim,stim_SLlg10wf,BLPbncfrequency,BLPbncfrequencymillion,BLPrt,elp_ld_rt,elp_naming_mean_rt,c1c2_snautCos,c1stim_snautCos,c2stim_snautCos,fbusfreq,fbukfreq,valence_stim,valence_c1,valence_c2,concreteness_stim,concreteness_c1,concreteness_c2,Juhasz_tran,st_c1_mean,st_c2_mean,Zipfvalue,c1_SLlg10wf,c2_SLlg10wf,c1_BLPbncfrequency,c1_BLPbncfrequencymillion,c2_BLPbncfrequency,c2_BLPbncfrequencymillion
443,beach,head,beachhead,,,,1,6,38,9,5,4,1,yes,48.224998,65.525002,43.299999,0,7,74,5,74,Positive,Positive,Negative,0.39635709,0.56659937,0.26069468,0.35563472,0.16512528,0.42028478,1.1145061,2.4003417,0.94306791,FALSE,FALSE,FALSE,1,1,1,hh,6.21,3340,2741,1,1,1,0,1,1,1,1,1,1,1,1,0.12,0.19,0.05,1.5185,5,0.050000001,800.214285714286,1046.7,852.27002,0.77731597,0.799909,0.811912,10,7.6,,7.1500001,5.75,4,4.79,4.75,,3.938,3.1289999,2.810348082022350,3.4607,4.2775998,3849,38.490002,37906,379.06
3722,half,back,halfback,,,,1,6,40,8,4,4,1,yes,36.704544,45.909092,46.75,0,8,52,5,52,Positive,Negative,Positive,0.39635709,0.29196167,0.43440554,0.35563472,0.47157484,0.37489992,1.1145061,0.84049666,1.0572344,FALSE,FALSE,FALSE,1,1,1,fb,4.32,277,525,1,1,1,0,1,0,1,1,1,0,1,1,0.39,0.1,0.12,1.4471999,13,0.13,681.727272727273,667.9400000000000,621.53998,0.64960301,0.78447998,0.67480099,24.7,11.9,5.1100001,,4.8000002,4,3.27,4.33,,3.645,2.8670001,2.738992173486680,4.0068002,5.0106001,29782,297.82001,102327,1023.27
7565,store,front,storefront,,,,1,6,10,10,5,5,1,yes,85.800003,87.76667,80.400002,0,8,10,4,10,Positive,Negative,Negative,0.39635709,0.34936267,0.25681672,0.35563472,0.41531661,0.37880358,1.1145061,0.95434922,1.0463394,FALSE,FALSE,FALSE,1,1,1,ef,11.2,124888,2133392,1,0,1,0,1,1,1,1,1,0,1,1,0.18,0.05,0.09,1.3802,,,,749.79,754.21002,0.78584701,0.64555103,0.74595898,187.3,11.9,5.6999998,5.7800002,,4,4.5,3.77,,4.6560001,4.3000002,2.672045383856070,3.6210999,3.9665999,4425,44.25,15106,151.06
2405,draughts,man,draughtsman,,,,1,1,208,11,8,3,1,yes,39.52,36.279999,73.120003,0,1,228,1,228,Positive,Positive,Positive,0.39635709,0.39635709,0.39489573,0.35563472,0.35563472,0.30522558,1.1145061,1.1145061,1.298571,FALSE,FALSE,FALSE,0,0,1,sm,10.1,50004,943849,1,1,0,0,1,1,1,0,1,1,1,1,-0.05,0.16,-0.01,0.301,108,1.08,703.583333333333,,,0.90826899,0.92739499,0.86958802,3.7,18.7,,4.0500002,5.3499999,4,2.81,4.79,,,,1.592864137808440,0.77819997,4.9737,159,1.59,62098,620.97998
427,battle,front,battlefront,,,,1,3,9,11,6,5,1,yes,76.800003,84.925003,71,0,10,10,6,10,Positive,Neutral,Negative,0.39635709,0.30746385,0.25681672,0.35563472,0.29836649,0.37880358,1.1145061,1.3284236,1.0463394,FALSE,FALSE,FALSE,1,1,1,ef,11.2,124888,2133392,1,0,1,0,1,1,1,1,1,0,1,1,0.12,0.38,0,0.699,,,,841.97,754.78003,0.81367099,0.585356,0.77182198,25.6,48.4,,3.1099999,,4,4,3.77,,5.355,3.733,1.990804146480480,3.3336,3.9665999,6632,66.32,15106,151.06
3659,guns,linger,gunslinger,,,,1,1,1,10,4,6,2,no,21.903225,74.6129,16.741936,0,1,0,0,0,Positive,Neutral,Positive,0.39635709,0.2929202,0.4004477,0.35563472,0.34936753,0.31486326,1.1145061,1.134499,1.2588229,FALSE,FALSE,FALSE,1,0,1,sl,10.4,63728,1596775,1,0,1,0,1,0,0,1,1,0,0,1,0.06,,,1.3424,,,,981.97,722.22998,,,0.83419001,101.4,48.4,4.4499998,3.6900001,4.3000002,4,,2.41,,,,2.634256822966670,3.4904001,1.8751,2001,20.01,264,2.6400001
3660,gun,slinger,gunslinger,,,,2,26,2,10,3,7,2,yes,64.26667,78.866669,50.933334,0,26,2,19,2,Positive,Negative,Positive,0.39635709,0.18470076,0.39635709,0.35563472,0.54487473,0.35563472,1.1145061,0.7274279,1.1145061,FALSE,FALSE,FALSE,1,1,0,ns,12.4,269806,4542790,1,0,1,0,1,1,1,1,1,0,1,0,0.08,,,1.3424,,,,981.97,722.22998,0.74620998,0.60888702,0.68155301,101.4,48.4,4.4499998,3.6900001,,4,4.83,3.91,,,,2.634256822966670,4.0363998,1.0792,3504,35.040001,5,0.050000001
6924,side,light,sidelight,,,,1,17,14,9,4,5,1,yes,78.566666,85.300003,90.133331,0,34,27,18,27,Positive,Negative,Negative,0.39635709,0.36211708,0.37489834,0.35563472,0.43805629,0.51551467,1.1145061,0.90480858,0.76885706,FALSE,FALSE,FALSE,1,1,1,el,12.4,849735,10638536,0,1,1,0,1,1,1,1,1,1,1,1,0.16,-0.02,0.38,,9,0.090000004,801.4,867.73,781.85999,0.70161003,0.86160803,0.71522999,1.8,49.2,,5.25,6.6999998,4,3.68,4.21,,3.9690001,3.467,,4.0106001,3.9256001,33540,335.39999,21605,216.05
8696,wings,pan,wingspan,,,,2,2,13,8,5,3,2,no,20.689655,71.321426,6.0357141,0,0,11,0,11,Positive,Positive,Neutral,0.39635709,0.49660525,0.34234515,0.35563472,0.22848848,0.30526665,1.1145061,1.7346919,1.2983963,FALSE,FALSE,FALSE,1,1,1,sp,11.3,151421,2718843,1,1,1,1,1,0,1,1,1,1,1,1,0.06,,,1.0414,19,0.19,726.551724137931,838.6,710.91998,,,0.851996,60.3,55.2,,6.1500001,5.1500001,4,,4.86,5.4699998,4.375,3.5940001,2.333226827302690,3.0016999,2.7980001,2429,24.290001,1895,18.950001
8697,wing,span,wingspan,,,,1,2,1,8,4,4,2,yes,90.15625,90.5,81.25,0,6,2,4,2,Positive,Neutral,Negative,0.39635709,0.25092971,0.3068347,0.35563472,0.34175363,0.44145811,1.1145061,1.1597743,0.89783627,FALSE,FALSE,FALSE,1,1,1,gs,10.3,77421,1916072,1,1,1,1,1,1,1,1,1,1,1,1,0.11,,,1.0414,19,0.19,726.551724137931,838.6,710.91998,0.85436797,0.68972403,0.66942,60.3,55.2,,6.1500001,5.7399998,4,4.86,3,5.4699998,4.375,3.5940001,2.333226827302690,3.0141001,2.0086,2916,29.16,732,7.3200002
